id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,popularity,poster_path,genres
228150,Fury,7.518,11021,2014-10-15,211817906,135,False,68000000,90.378,/pfte7wdMobMF4CVHuOxyu6oqeeA.jpg,"War, Drama, Action"
1724,The Incredible Hulk,6.204,11006,2008-06-12,163712074,114,False,150000000,52.734,/gKzYx79y0AQTL4UAk1cBQJ3nvrm.jpg,"Science Fiction, Action, Adventure"
23483,Kick-Ass,7.12,10997,2010-03-22,96188903,117,False,28000000,38.557,/8citjdBmjddZjlPsAHEyCKwGVvD.jpg,"Action, Crime"
2048,"I, Robot",6.939,10972,2004-07-15,347234916,115,False,120000000,27.677,/dlb6JKYv25rJSk2n2hwhOeJ7Dk.jpg,"Action, Science Fiction"
6977,No Country for Old Men,7.933,10964,2007-06-13,171627166,122,False,25000000,33.115,/bj1v6YKF8yHqA489VFfnQvOJpnc.jpg,"Crime, Drama, Thriller"
194,Amélie,7.905,10750,2001-04-25,173921954,122,False,10000000,42.494,/nSxDa3M9aMvGVLoItzWTepQ5h5d.jpg,"Comedy, Romance"
111,Scarface,8.168,10749,1983-12-09,66023329,169,False,25000000,54.199,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,"Action, Crime, Drama"
146233,Prisoners,8.091,10748,2013-09-19,122126687,153,False,46000000,35.085,/tuZhZ6biFMr5n9YSVuHOJnNL1uU.jpg,"Drama, Thriller, Crime"
73,American History X,8.352,10729,1998-07-01,23875127,119,False,20000000,36.427,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,Drama
138843,The Conjuring,7.541,10683,2013-07-18,320406242,112,False,13000000,105.394,/wVYREutTvI2tmxr6ujrHT704wGF.jpg,"Horror, Thriller"
222935,The Fault in Our Stars,7.598,10655,2014-05-16,307166834,126,False,14000000,30.209,/ep7dF4QR4Mm39LI958V0XbwE0hK.jpg,"Romance, Drama"
11036,The Notebook,7.88,10629,2004-06-25,115603229,123,False,29000000,55.483,/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg,"Romance, Drama"
76203,12 Years a Slave,7.945,10603,2013-10-18,187000000,134,False,20000000,34.808,/xdANQijuNrJaw1HA61rDccME4Tm.jpg,"Drama, History"
62,2001: A Space Odyssey,8.076,10575,1968-04-02,71923560,149,False,12000000,48.932,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,"Science Fiction, Mystery, Adventure"
49530,In Time,6.953,10556,2011-10-27,173930596,109,False,40000000,67.242,/3Mwj2sIONQckOZP3YwsUXF7U5I4.jpg,"Action, Thriller, Science Fiction"
490132,Green Book,8.242,10542,2018-11-16,319700000,130,False,23000000,34.768,/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,"Drama, Comedy"
8358,Cast Away,7.662,10531,2000-12-22,429632142,143,False,90000000,32.387,/7lLJgKnAicAcR5UEuo8xhSMj18w.jpg,"Adventure, Drama"
